編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLQJJIHFFGL98CA,13,160.03,住房．機電設備空間．停車空間．梯間,鋼筋混凝土造,88年12月8日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPPOMLSJJIHFFGL68CA,17,237.58,住家用,鋼筋混凝土造,84年11月22日,五層,一層 二層 三層 四層 五層 陽台 平台 露台
RPROMLSJJIHFFGL88CA,35,120.85,住商用,加強磚造,67年4月1日,二層,一層 二層 騎樓
RPUOMLTJJIHFFGL66CA,16,204.04,農舍,鋼筋混凝土造,85年8月29日,三層,一層 二層 三層 陽台
RPUOMLTJJIHFFGL66CA,16,204.04,農舍,鋼筋混凝土造,85年8月29日,三層,一層 二層 三層 陽台
RPTNMLTJJIHFFGL09CA,16,92.45,集合住宅,鋼筋混凝土造,85年3月28日,十三層,十二層 陽台 花台
RPTNMLTJJIHFFGL09CA,16,36.63,共有部份,鋼筋混凝土造,85年3月28日,十三層,
RPTOMLNKJIHFFGL68CA,11,241.10,住房．梯間,鋼筋混凝土造,90年5月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPROMLPKJIHFFGL68CA,21,188.29,住家用,鋼筋混凝土造,80年12月30日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPQOMLNKJIHFFGL38CA,10,226.08,停車空間．門廊．住宅,鋼筋混凝土造,91年8月2日,五層,一層 二層 三層 四層 五層 陽台
RPSPMLQLJIHFFGL09CA,10,155.49,店舖、住房,鋼筋混凝土造,91年12月27日,三層,一層 二層 三層 陽台
RPRNMLTKJIHFFAB37CA,18,66.06,住家用,鋼筋混凝土造,84年1月13日,十九層,十九層 陽台
RPRNMLTKJIHFFAB37CA,18,15.45,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPRNMLTKJIHFFAB37CA,18,13.92,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,
RPRNMLTKJIHFFAB37CA,18,9.12,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPOPMLMLJIHFFAB66CA,1,67.77,集合住宅,鋼筋混凝土造,100年11月30日,十五層,五層 陽台
RPOPMLMLJIHFFAB66CA,1,13.69,本共有部分係依使用執照之建築概要表記載項目有：Ｂ梯、機械室、Ｂ水箱、排煙室、排煙設備空間等共５項。,鋼筋混凝土造,100年11月30日,十五層,
